"MCC","Description","Valid Payment Brand(s)","Visa Abbreviation","MasterCard Abbreviation"
"0742","Veterinary Services","V, M","",""
"0763","Agricultural Cooperatives","V, M","",""
"0780","Horticultural and Landscaping Services","V, M","",""
"1520","General Contractors Residential and Commercial","V, M","",""
"1711","Air Conditioning, Heating and Plumbing Contractors","V, M","",""
"1731","Electrical Contractors","V, M","",""
"1740","Insulation, Masonry, Plastering, Stonework and Tile Setting Contractors","V, M","",""
"1750","Carpentry Contractors","V, M","",""
"1761","Roofing and Siding, Sheet Metal Work Contractors","V, M","",""
"1771","Concrete Work Contractors","V, M","",""
"1799","Contractors, Special Trade Contractors not elsewhere classified","V, M","",""
"2741","Miscellaneous Publishing and Printing","V, M","",""
"2791","Typesetting, Plate Making and Related Services","V, M","",""
"2842","Sanitation, Polishing and Specialty Cleaning Preparations","V, M","",""
"3000","United Airlines","V, M","UNITED AIR","UNITED"
"3001","American Airlines","V, M","AMERICAN AIR","AMERICAN"
"3002","Pan American","V, M","PAN AM AIR","PAN AM"
"3003","Eurofly","V, M","EUROFLY AIR","EUROFLY"
"3004","Dragon Airlines","V, M","DRAGONAIR","DRAGONAIR"
"3005","British Airways","V, M","BRITISH AWYS","BRITISH A"
"3006","Japan Air Lines","V, M","JAL AIRLINE","JAL"
"3007","Air France","V, M","AIR FRANCE","AIR FRAN"
"3008","Lufthansa German Airlines","V, M","LUFTHANSA","LUFTHAN"
"3009","Air Canada","V, M","AIR CANADA","AIR CAN"
"3010","Royal Dutch Airlines KLM Airlines","V, M","KLM AIRLINE","KLM"
"3011","Aeroflot","V, M","AEROFLOT","AEROFLOT"
"3012","Qantas","V, M","QANTAS AIR","QANTAS"
"3013","Alitalia","V, M","ALITALIA","ALITALIA"
"3014","Saudi Arabian Airlines","V, M","SAUDI AIR","SAUDI AI"
"3015","Swiss International Air Lines","V, M","SWISSINTAIR","SWISS"
"3016","Scandinavian Airline System SAS","V, M","SAS","SAS"
"3017","South African Airways","V, M","SAA AIRWAYS","SAFRICAN"
"3018","Varig","V, M","VARIG","VARIG"
"3019","Germanwings","TSYS","NA","NA"
"3020","Air India","V, M","AIR-INDIA","AIR-INDI"
"3021","Air Algerie","V, M","AIR ALGERIE","AIRALGER"
"3022","Philippine Airlines","V, M","PAL AIR","PAL AIR"
"3023","Mexicana","V, M","MEXICANA","MEXICANA"
"3024","Pakistan International","V, M","PAKISTAN AIR","PAKISTAN"
"3025","Air New Zealand Ltd. International","V, M","AIR NZ","AIR NZ"
"3026","Emirates Airlines","V, M","EMIRATES","EMIRATES"
"3027","Union De Transports Aeriens UTA interair","V, M","UTA AIRLINE","UTAAIR"
"3028","Air Malta","V, M","AIR MALTA","AIRMALTA"
"3029","SN Brussels Airlines","V, M","SNBRSSLSAIR","SNBRU AIR"
"3030","Aerolineas Argentinas","V, M","AERO ARGENT","AERO ARG"
"3031","Olympic Airways","V, M","OLYMPIC AIR","OLYMPICA"
"3032","El Al","V, M","EL AL","EL AL"
"3033","Ansett Airlines","V, M","ANSETT AIR","ANSETT"
"3034","Etihadair","V, M","ETIHADAIR","ETIHADAIR"
"3035","TAP Air Portugal TAP","V, M","TAP AIR","TAP"
"3036","Viacao Aerea Sao Pãulo VASP","V, M","VASP AIR","VASP"
"3037","Egyptair","V, M","EGYPTAIR","EGYPTAIR"
"3038","Kuwait Airways","V, M","KUWAIT AIR","KUWAIT"
"3039","Avianca","V, M","AVIANCA","AVIANCA"
"3040","Gulf Air Bahrain","V, M","GULF AIR","GULF AIR"
"3041","Balkan-Bulgarian Airlines","V, M","BALKAN AIR","BALKAN"
"3042","Finnair","V, M","FINNAIR","FINNAIR"
"3043","Aer Lingus","V, M","AER LINGUS","AERLING"
"3044","Air Lanka","V, M","AIR LANKA","AIR LANKA"
"3045","Nigeria Airways","V, M","NIGERIA AIR","NIGERIA"
"3046","Cruzeiro Do Sul","V, M","CRUZIERO AIR","CRUZIERO"
"3047","Turk Hava Yollari","V, M","THY AIRLINE","THY"
"3048","Royal Air Maroc","V, M","AIR MAROC","AIRMARO"
"3049","Tunis Air","V, M","TUNIS AIR","TUNIS AI"
"3050","Icelandair","V, M","ICELANDAIR","ICELANDA"
"3051","Austrian Airlines","V, M","AUSTRIAN AIR","AUSTRIAN"
"3052","LAN Airlines","V, M","LAN AIR","LAN AIR"
"3053","Aviacion Y Comercio AVIACO","V, M","AVIACO AIR","AVIACO"
"3054","Linea Aerea Del Cobre LADECO","V, M","LADECO AIR","LADECO"
"3055","Lloyd Aero Boliviano LAB","V, M","LAB AIR","LAB"
"3056","Jet Airways","V, M","JET AIR","JET AIR"
"3057","Virgin America","V, M","VIR AMER","VIR AMER"
"3058","Delta","V, M","DELTA AIR","DELTA"
"3059","DBA Airline","V, M","DBA AIR","DBA AIR"
